VIN,year,znamka,model,state,city,price,miles,accidents,use,owners,MPG_city,MPG_highway,engine,transmission,drive_type,exterior,interior
WDBSK75F93F021261,2003,mercedes-benz,sl,CA,San Diego,9999,91284,0,Personal,4,15,22,5.0L V-8 Gas,Automatic,RWD,Silver,Unknown
WDDHF8JB6EA869273,2014,mercedes-benz,e-class,FL,Tampa,14995,102589,0,Personal,3,21,29,3.5L V-6 Gas,Automatic,AWD,White,Unknown
WDBSK75F13F014465,2003,mercedes-benz,sl,IL,Downers Grove,14888,55988,0,Personal,4,15,22,5.0L V-8 Gas,Automatic,RWD,Black,Unknown
WD4PF0CD3KP053996,2019,mercedes-benz,sprinter-crew-van,TX,Webster,39999,51311,0,Fleet,1,0,0,3.0L V-6 Diesel Turbocharged,Automatic,RWD,Gray,Black
WD3PF1CDXJP626790,2018,mercedes-benz,sprinter-chassis-cab,VA,Fredericksburg,49000,34262,0,Personal,1,0,0,3.0L V-6 Diesel Turbocharged,Automatic,RWD,White,Black
W1N0G8EB5NG073778,2022,mercedes-benz,glc,IL,Naperville,44777,3071,0,Personal,0,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gray,Black
WDDGF4HB9DR255716,2013,mercedes-benz,c-class,AZ,Tempe,10995,95550,0,Fleet,3,21,31,1.8L Inline-4 Gas Turbocharged,Automatic,RWD,Silver,Black
W1N0G8EB0NV374177,2022,mercedes-benz,glc,IL,Naperville,44977,3860,0,Personal,0,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Beige
W1N0G8EB7NV351558,2022,mercedes-benz,glc,PA,East Petersburg,46990,6687,0,Personal,1,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Gray
55SWF8DB4KU294184,2019,mercedes-benz,c-class,FL,Orlando,26342,61078,0,Personal,2,23,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Beige
WDC0G4JBXKV141967,2019,mercedes-benz,glc,TX,Webster,30994,39877,0,Personal,2,22,27,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Black
W1N0G8EB4NV383318,2022,mercedes-benz,glc,IL,Naperville,46777,2481,0,Personal,0,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gray,Black
W1N0G8EB1NV367111,2022,mercedes-benz,glc,IL,Chicago,42991,5922,0,Personal,0,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,White,Black
55SWF4KB9FU009710,2015,mercedes-benz,c-class,NC,Durham,18682,84213,0,Personal,3,24,31,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Black
55SWF4JB3JU234781,2018,mercedes-benz,c-class,FL,Orlando,23998,52840,3,Personal,3,24,33,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Black
WD3PE7CD9JP632764,2018,mercedes-benz,sprinter-cargo-van,WA,Lakewood,34999,61466,0,Fleet,1,0,0,3.0L V-6 Diesel Turbocharged,Automatic,RWD,Gray,Black
W1N0G8EB0NV387835,2022,mercedes-benz,glc,IL,Naperville,46192,4801,0,Personal,0,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Black
WDDWF4KB6GR141195,2016,mercedes-benz,c-class,NY,North Syracuse,16500,130285,1,Personal,2,24,31,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Black,Black
WDC0G4JB5JV062690,2018,mercedes-benz,glc,FL,Ft. Pierce,26750,45450,0,Personal,2,22,28,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Black,Black
55SWF4JB3GU158004,2016,mercedes-benz,c-class,FL,Tampa,19100,71764,0,Personal,3,25,34,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Silver,Unknown
4JGDA5JB5JB144852,2018,mercedes-benz,gle,FL,Fort Lauderdale,27990,51235,1,Personal,2,18,23,3.5L V-6 Gas,Automatic,RWD,White,Beige
55SWF4KB5GU114374,2016,mercedes-benz,c-class,TX,Dallas,14995,111835,0,Personal,3,24,31,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gray,Gray
WDCTG4GBXKJ628971,2019,mercedes-benz,gla,NY,Farmingdale,21690,63289,0,Personal,2,23,31,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Blue,Unknown
W1N0G8EB3NV366400,2022,mercedes-benz,glc,PA,East Petersburg,47990,7071,0,Personal,1,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gray,Black
W1N0G8EB0NV340577,2022,mercedes-benz,glc,PA,East Petersburg,47990,6797,0,Personal,1,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gray,Black
W1N0G8EB5NV369556,2022,mercedes-benz,glc,NJ,Edison,46693,6051,0,Personal,1,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,White,Gray
W1N0G8EB1NV351829,2022,mercedes-benz,glc,PA,East Petersburg,46990,6656,0,Personal,1,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Silver,Beige
W1N0G8EB1NG060929,2022,mercedes-benz,glc,PA,East Petersburg,47990,6116,0,Personal,1,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Silver,Black
55SWF4JB9JU237345,2018,mercedes-benz,c-class,CA,Riverside,24776,48480,0,Personal,2,24,33,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gray,Black
WDD3G4EBXKW032812,2019,mercedes-benz,a-class,FL,Tampa,28098,18647,0,Personal,1,24,35,2.0L Inline-4 Gas Turbocharged,Automatic,FWD,Black,Black
WDDGF4HB7CR212846,2012,mercedes-benz,c-class,CA,San Jose,9159,110000,1,Personal,2,21,31,1.8L Inline-4 Gas Turbocharged,Automatic,RWD,Gray,Unknown
55SWF4JB3HU201631,2017,mercedes-benz,c-class,CA,Bloomington,16995,100768,0,Personal,2,23,30,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,White,Unknown
WDDHF8JB4EA910998,2014,mercedes-benz,e-class,IL,Mt. Prospect,14500,120100,0,Personal,3,21,29,3.5L V-6 Gas,Automatic,AWD,Black,Black
W1N0G8DB9NG081786,2022,mercedes-benz,glc,AZ,Scottsdale,43994,1630,0,Personal,0,22,27,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Blue,Beige
W1N0G8EB7NV353858,2022,mercedes-benz,glc,NJ,Edison,47385,4410,0,Personal,1,21,28,2.0L Inline-4 Gas Turbocharged,Automatic,AWD,Gray,Black
